City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buala,SB,-8.145,159.5921,78.08,86,99,3.29,light rain
1,Sitka,US,57.0531,-135.33,42.69,75,100,14.97,light rain
2,Maroantsetra,MG,-15.4333,49.7333,74.21,84,47,9.53,scattered clouds
3,East London,ZA,-33.0153,27.9116,70.74,94,75,10.36,thunderstorm with rain
4,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
5,Porto Santo,PT,33.072,-16.3415,71.98,68,20,6.91,few clouds
6,Barrow,US,71.2906,-156.7887,5.02,92,100,9.22,overcast clouds
7,Ratnagiri,IN,16.9833,73.3,78.26,69,100,8.39,overcast clouds
8,Sitka,US,57.0531,-135.33,42.69,75,100,14.97,light rain
9,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
10,Khatanga,RU,71.9667,102.5,-23.87,98,99,8.16,overcast clouds
11,Purpe,RU,64.4803,76.6897,-0.9,86,100,17.94,overcast clouds
12,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
14,Jamestown,US,42.097,-79.2353,44.19,80,100,10.36,overcast clouds
15,Port Hardy,CA,50.6996,-127.4199,39.31,86,69,2.82,broken clouds
16,Teruel,ES,40.6667,-0.6667,52.77,72,72,9.78,broken clouds
17,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
18,Thompson,CA,55.7435,-97.8558,0.27,93,61,2.77,broken clouds
19,Sitka,US,57.0531,-135.33,42.69,75,100,14.97,light rain
20,Atuona,PF,-9.8,-139.0333,78.55,69,1,14.81,clear sky
21,Mataura,NZ,-46.1927,168.8643,42.66,91,84,2.04,broken clouds
22,Madan,BG,41.5,24.95,43.36,91,100,5.35,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
24,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
25,Kaeo,NZ,-35.1,173.7833,56.32,92,63,5.3,broken clouds
26,Turayf,SA,31.6725,38.6637,65.84,50,0,9.64,clear sky
27,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,83,5.01,broken clouds
29,Chicomuselo,MX,15.7667,-92.2667,77.36,65,6,3.11,clear sky
30,Sri Aman,MY,1.2376,111.4621,73.47,96,100,1.48,overcast clouds
31,Hobart,AU,-42.8794,147.3294,50.05,83,100,5.75,overcast clouds
32,Ponta Do Sol,PT,32.6667,-17.1,75.0,83,100,1.86,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,74.79,69,6,7.72,clear sky
34,Burnie,AU,-41.0667,145.9167,53.94,73,100,17.87,light rain
35,Butaritari,KI,3.0707,172.7902,80.31,77,78,13.65,broken clouds
36,Port Blair,IN,11.6667,92.75,81.03,80,99,7.72,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.01,overcast clouds
38,Salalah,OM,17.0151,54.0924,79.75,62,0,5.14,clear sky
39,Itagiba,BR,-14.2836,-39.8428,92.97,37,30,3.8,scattered clouds
40,Ilulissat,GL,69.2167,-51.1,17.62,73,75,3.44,broken clouds
41,Nushki,PK,29.5542,66.0215,66.61,29,97,3.8,overcast clouds
42,Kathmandu,NP,27.7167,85.3167,55.62,82,20,4.61,few clouds
43,Pisco,PE,-13.7,-76.2167,67.01,77,20,9.22,few clouds
44,Satun,TH,6.8333,100.0,77.0,93,100,2.93,overcast clouds
45,Benghazi,LY,32.1167,20.0667,68.04,52,21,6.42,few clouds
46,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
47,Port Hedland,AU,-20.3167,118.5667,71.65,78,0,9.22,clear sky
48,Ushuaia,AR,-54.8,-68.3,56.82,47,0,6.91,clear sky
49,Namibe,AO,-15.1961,12.1522,70.99,62,35,16.8,scattered clouds
50,High Level,CA,58.5169,-117.136,7.34,99,74,2.57,broken clouds
51,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
52,Barrow,US,71.2906,-156.7887,5.02,92,100,9.22,overcast clouds
53,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
54,East London,ZA,-33.0153,27.9116,70.74,94,75,10.36,thunderstorm with rain
55,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
56,Bandarbeyla,SO,9.4942,50.8122,79.61,76,13,18.05,few clouds
57,Port Alfred,ZA,-33.5906,26.891,65.17,94,96,1.99,moderate rain
58,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.01,overcast clouds
60,San Felipe,VE,10.3399,-68.7425,74.07,96,100,0.67,overcast clouds
61,Tasiilaq,GL,65.6145,-37.6368,33.96,82,100,30.2,overcast clouds
62,Raudeberg,NO,61.9875,5.1352,50.86,11,100,17.25,overcast clouds
63,Ler,SS,8.3018,30.1418,80.73,31,79,3.51,broken clouds
64,Tasiilaq,GL,65.6145,-37.6368,33.96,82,100,30.2,overcast clouds
65,Hobart,AU,-42.8794,147.3294,50.05,83,100,5.75,overcast clouds
66,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
67,Barrow,US,71.2906,-156.7887,5.02,92,100,9.22,overcast clouds
68,East London,ZA,-33.0153,27.9116,70.74,94,75,10.36,thunderstorm with rain
69,Walvis Bay,NA,-22.9575,14.5053,65.08,63,0,22.12,clear sky
70,Okha,RU,53.5739,142.9478,25.32,67,100,12.5,overcast clouds
71,Hilo,US,19.7297,-155.09,69.24,83,0,3.44,clear sky
72,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,6.91,scattered clouds
73,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
74,Barrow,US,71.2906,-156.7887,5.02,92,100,9.22,overcast clouds
75,Tomatlan,MX,19.9333,-105.25,78.21,62,2,0.67,clear sky
76,Matata,NZ,-37.8833,176.75,58.59,93,57,5.03,broken clouds
77,Berdigestyakh,RU,62.0989,126.6992,22.5,95,100,10.04,light snow
78,Colesberg,ZA,-30.72,25.0972,64.69,72,91,12.1,light rain
79,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
80,Cidreira,BR,-30.1811,-50.2056,70.75,82,49,9.15,scattered clouds
81,Clyde River,CA,70.4692,-68.5914,-10.37,92,42,5.68,scattered clouds
82,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
83,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
84,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
85,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,20,3.44,few clouds
86,Evensk,RU,61.95,159.2333,11.3,95,99,4.59,overcast clouds
87,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
88,Vallenar,CL,-28.5708,-70.7581,75.38,25,93,9.86,overcast clouds
89,Huilong,CN,31.8111,121.655,64.92,89,74,18.23,broken clouds
90,Richards Bay,ZA,-28.783,32.0377,78.94,78,89,17.05,overcast clouds
91,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,69.8,60,0,19.71,clear sky
93,Adrar,MR,20.5022,-10.0711,87.69,8,0,6.85,clear sky
94,Hobart,AU,-42.8794,147.3294,50.05,83,100,5.75,overcast clouds
95,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
96,Georgetown,MY,5.4112,100.3354,80.24,90,40,0.0,thunderstorm with light rain
97,Paamiut,GL,61.994,-49.6678,27.07,89,100,17.74,overcast clouds
98,Chuy,UY,-33.6971,-53.4616,76.57,57,2,10.36,clear sky
99,Winneba,GH,5.3511,-0.6231,82.2,74,76,9.86,light rain
100,Nishihara,JP,26.1842,127.7558,78.08,97,75,16.11,broken clouds
101,Tazovskiy,RU,67.4667,78.7,-16.06,99,50,7.09,scattered clouds
102,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
103,Kavieng,PG,-2.5744,150.7967,81.05,77,100,7.0,overcast clouds
104,Saint-Jerome,CA,45.7804,-74.0036,57.15,93,100,5.75,mist
105,Kapaa,US,22.0752,-159.319,75.18,74,40,20.71,light rain
106,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
107,Hasaki,JP,35.7333,140.8333,56.21,79,3,10.11,clear sky
108,Flinders,AU,-34.5833,150.8552,65.17,89,40,7.0,scattered clouds
109,San Patricio,US,28.017,-97.5169,55.26,49,71,16.49,broken clouds
110,Maragogi,BR,-9.0122,-35.2225,82.13,71,75,10.31,broken clouds
111,Lidkoping,SE,58.5052,13.1577,50.02,94,18,7.02,few clouds
112,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,6.91,scattered clouds
113,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
114,Umm Lajj,SA,25.0213,37.2685,80.29,59,0,9.84,clear sky
115,Ahipara,NZ,-35.1667,173.1667,58.17,90,56,7.34,broken clouds
116,Murupara,NZ,-38.4667,176.7,49.68,99,97,1.48,overcast clouds
117,Dalbandin,PK,28.8947,64.4101,70.0,25,68,4.03,broken clouds
118,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
119,Husavik,IS,66.0449,-17.3389,38.03,81,17,8.05,few clouds
120,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
121,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
122,Carnarvon,AU,-24.8667,113.6333,66.33,56,0,27.83,clear sky
123,Denpasar,ID,-8.65,115.2167,80.26,88,40,4.61,scattered clouds
124,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
125,Alta Floresta,BR,-9.8756,-56.0861,91.22,42,100,0.69,overcast clouds
126,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
127,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
128,Victoria,HK,22.2855,114.1577,76.32,85,0,4.0,clear sky
129,Chernyshevskiy,RU,63.0128,112.4714,5.97,87,98,11.27,overcast clouds
130,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,82,75,13.8,broken clouds
131,Mataura,NZ,-46.1927,168.8643,42.66,91,84,2.04,broken clouds
132,Carnarvon,AU,-24.8667,113.6333,66.33,56,0,27.83,clear sky
133,Bredasdorp,ZA,-34.5322,20.0403,72.05,36,0,23.8,clear sky
134,Ostrovnoy,RU,68.0531,39.5131,35.22,97,100,20.89,light snow
135,Ushuaia,AR,-54.8,-68.3,56.82,47,0,6.91,clear sky
136,Kapaa,US,22.0752,-159.319,75.18,74,40,20.71,light rain
137,Faanui,PF,-16.4833,-151.75,77.63,79,100,9.64,light rain
138,Barrow,US,71.2906,-156.7887,5.02,92,100,9.22,overcast clouds
139,Palasa,IN,18.7667,84.4167,72.72,71,31,4.83,scattered clouds
140,Airai,TL,-8.9266,125.4092,62.83,94,100,0.98,overcast clouds
141,Maragogi,BR,-9.0122,-35.2225,82.13,71,75,10.31,broken clouds
142,Lorengau,PG,-2.0226,147.2712,79.25,86,96,3.69,overcast clouds
143,Bandarban,BD,22.1965,92.2262,65.68,89,7,2.26,clear sky
144,Touros,BR,-5.1989,-35.4608,85.51,60,31,12.08,scattered clouds
145,Kinablangan,PH,7.6947,126.5503,78.64,83,22,4.59,few clouds
146,Newala,TZ,-10.9431,39.2787,77.88,45,58,12.01,broken clouds
147,Jamestown,US,42.097,-79.2353,44.19,80,100,10.36,overcast clouds
148,Kavieng,PG,-2.5744,150.7967,81.05,77,100,7.0,overcast clouds
149,Luderitz,NA,-26.6481,15.1594,64.76,63,0,14.43,clear sky
150,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,45.27,68,85,4.27,overcast clouds
152,Ushuaia,AR,-54.8,-68.3,56.82,47,0,6.91,clear sky
153,Pangai,TO,-19.8,-174.35,78.24,81,44,7.2,light rain
154,Upernavik,GL,72.7868,-56.1549,10.04,84,46,11.05,scattered clouds
155,Eirunepe,BR,-6.6603,-69.8736,91.9,47,90,2.82,overcast clouds
156,Sobolevo,RU,54.4299,31.8996,51.96,82,95,18.81,overcast clouds
157,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
158,Batsfjord,NO,70.6345,29.7185,40.93,87,75,19.57,broken clouds
159,Victoria,HK,22.2855,114.1577,76.32,85,0,4.0,clear sky
160,Kaeo,NZ,-35.1,173.7833,56.32,92,63,5.3,broken clouds
161,Pevek,RU,69.7008,170.3133,-7.2,91,100,3.49,overcast clouds
162,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
163,Hobart,AU,-42.8794,147.3294,50.05,83,100,5.75,overcast clouds
164,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.01,overcast clouds
165,Leh,IN,34.1667,77.5833,22.53,51,44,3.47,scattered clouds
166,Iqaluit,CA,63.7506,-68.5145,6.53,77,75,5.01,light snow
167,Faanui,PF,-16.4833,-151.75,77.63,79,100,9.64,light rain
168,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
169,Pueblo Nuevo,MX,23.3833,-105.3833,63.1,30,40,1.16,scattered clouds
170,Diu,IN,20.7141,70.9822,77.92,50,4,8.05,clear sky
171,Alekseyevka,RU,50.6309,38.6903,47.61,77,23,19.86,few clouds
172,Qaanaaq,GL,77.484,-69.3632,-0.94,64,6,5.86,clear sky
173,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
174,Deputatskiy,RU,69.3,139.9,-20.47,100,96,3.69,overcast clouds
175,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
176,Pacifica,US,37.6138,-122.4869,51.67,86,20,8.01,few clouds
177,Upernavik,GL,72.7868,-56.1549,10.04,84,46,11.05,scattered clouds
178,Tonota,BW,-21.4833,27.4833,72.12,67,100,2.86,overcast clouds
179,Haines Junction,CA,60.7522,-137.5108,33.75,64,94,9.22,overcast clouds
180,Iqaluit,CA,63.7506,-68.5145,6.53,77,75,5.01,light snow
181,Canton,CN,23.1167,113.25,78.87,61,1,4.81,clear sky
182,Talnakh,RU,69.4865,88.3972,-23.8,98,60,2.77,broken clouds
183,Ushuaia,AR,-54.8,-68.3,56.82,47,0,6.91,clear sky
184,Clyde River,CA,70.4692,-68.5914,-10.37,92,42,5.68,scattered clouds
185,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
186,Hilo,US,19.7297,-155.09,69.24,83,0,3.44,clear sky
187,Havelock,US,34.8791,-76.9013,75.18,89,100,10.36,overcast clouds
188,Carnarvon,AU,-24.8667,113.6333,66.33,56,0,27.83,clear sky
189,Hasaki,JP,35.7333,140.8333,56.21,79,3,10.11,clear sky
190,Tingo Maria,PE,-9.2895,-76.0088,84.51,65,40,4.61,scattered clouds
191,Saldanha,ZA,-33.0117,17.9442,68.05,75,0,12.93,light rain
192,Puerto Ayacucho,VE,5.6639,-67.6236,87.37,65,97,1.7,overcast clouds
193,Kodiak,US,57.79,-152.4072,44.11,76,100,13.8,overcast clouds
194,Makakilo City,US,21.3469,-158.0858,73.72,66,0,8.05,clear sky
195,Jiuquan,CN,39.7432,98.5174,33.87,42,23,5.3,few clouds
196,Mbandaka,CD,0.0487,18.2603,77.09,85,67,2.08,light rain
197,Tuktoyaktuk,CA,69.4541,-133.0374,20.35,88,100,11.95,overcast clouds
198,Esperance,AU,-33.8667,121.9,55.24,78,100,19.98,overcast clouds
199,Port Alfred,ZA,-33.5906,26.891,65.17,94,96,1.99,moderate rain
200,Bonavista,CA,48.6499,-53.1147,33.1,96,100,11.7,light snow
201,Butaritari,KI,3.0707,172.7902,80.31,77,78,13.65,broken clouds
202,Mahebourg,MU,-20.4081,57.7,73.69,68,20,3.44,few clouds
203,Tasiilaq,GL,65.6145,-37.6368,33.96,82,100,30.2,overcast clouds
204,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
205,Lazo,RU,43.3817,133.9014,38.34,96,100,7.16,heavy intensity rain
206,Vorotynets,RU,56.0603,45.8633,45.95,93,100,19.24,moderate rain
207,Sorong,ID,-0.8833,131.25,81.52,79,100,4.92,overcast clouds
208,Souillac,MU,-20.5167,57.5167,73.78,68,20,3.44,few clouds
209,Georgetown,MY,5.4112,100.3354,80.24,90,40,0.0,thunderstorm with light rain
210,Tasiilaq,GL,65.6145,-37.6368,33.96,82,100,30.2,overcast clouds
211,Dubrovka,RU,53.6907,33.5071,50.13,83,100,18.92,overcast clouds
212,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.01,overcast clouds
213,Mahebourg,MU,-20.4081,57.7,73.69,68,20,3.44,few clouds
214,Naryan-Mar,RU,67.6713,53.087,21.4,94,100,15.39,light snow
215,Khatanga,RU,71.9667,102.5,-23.87,98,99,8.16,overcast clouds
216,Pevek,RU,69.7008,170.3133,-7.2,91,100,3.49,overcast clouds
217,Katsuura,JP,35.1333,140.3,66.42,79,3,10.4,clear sky
218,Labuhan,ID,-6.8844,112.2051,80.58,81,100,1.68,overcast clouds
219,Khatanga,RU,71.9667,102.5,-23.87,98,99,8.16,overcast clouds
220,Piacabucu,BR,-10.4056,-36.4344,83.35,68,33,9.48,scattered clouds
221,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
222,Terekli-Mekteb,RU,44.1671,45.8698,51.78,64,72,7.27,broken clouds
223,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
224,Jacareacanga,BR,-6.2222,-57.7528,100.42,26,100,1.3,overcast clouds
225,Hambantota,LK,6.1241,81.1185,77.65,85,91,6.64,overcast clouds
226,Enniskerry,IE,53.1925,-6.1692,56.08,88,97,13.51,overcast clouds
227,Kuala Terengganu,MY,5.3302,103.1408,78.75,100,20,0.0,few clouds
228,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
229,Kaitangata,NZ,-46.2817,169.8464,45.27,68,85,4.27,overcast clouds
230,Mitzic,GA,0.7821,11.549,75.27,91,78,0.98,light rain
231,Anori,BR,-3.7728,-61.6442,96.1,44,100,0.38,overcast clouds
232,Robertsganj,IN,24.7,83.0667,65.05,44,3,5.21,clear sky
233,Ilulissat,GL,69.2167,-51.1,17.62,73,75,3.44,broken clouds
234,Hilo,US,19.7297,-155.09,69.24,83,0,3.44,clear sky
235,Butaritari,KI,3.0707,172.7902,80.31,77,78,13.65,broken clouds
236,La Ronge,CA,55.1001,-105.2842,14.25,73,100,12.66,light snow
237,Chuy,UY,-33.6971,-53.4616,76.57,57,2,10.36,clear sky
238,Qaanaaq,GL,77.484,-69.3632,-0.94,64,6,5.86,clear sky
239,Jamestown,US,42.097,-79.2353,44.19,80,100,10.36,overcast clouds
240,Avarua,CK,-21.2078,-159.775,71.65,68,69,5.75,broken clouds
241,Saint-Philippe,RE,-21.3585,55.7679,74.79,69,6,7.72,clear sky
242,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
243,Upernavik,GL,72.7868,-56.1549,10.04,84,46,11.05,scattered clouds
244,Atuona,PF,-9.8,-139.0333,78.55,69,1,14.81,clear sky
245,Cascais,PT,38.6979,-9.4215,72.16,68,0,8.99,clear sky
246,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.01,overcast clouds
247,Salinas,US,36.6777,-121.6555,51.06,78,100,5.75,overcast clouds
248,Kodiak,US,57.79,-152.4072,44.11,76,100,13.8,overcast clouds
249,Mwanza,TZ,-2.5167,32.9,70.47,71,99,8.88,overcast clouds
250,Ust-Omchug,RU,61.15,149.6333,-28.44,100,77,0.89,broken clouds
251,Constitucion,CL,-35.3333,-72.4167,60.49,69,51,12.84,broken clouds
252,Mataura,NZ,-46.1927,168.8643,42.66,91,84,2.04,broken clouds
253,Nanortalik,GL,60.1432,-45.2371,30.4,79,68,3.29,broken clouds
254,Markova,UA,48.6758,24.4138,46.0,80,54,2.44,broken clouds
255,Chernaya Kholunitsa,RU,58.8511,51.7154,39.24,97,100,7.25,overcast clouds
256,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
257,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
258,Hualmay,PE,-11.0964,-77.6139,69.03,71,45,8.63,scattered clouds
259,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
260,Jamestown,US,42.097,-79.2353,44.19,80,100,10.36,overcast clouds
261,Saldanha,ZA,-33.0117,17.9442,68.05,75,0,12.93,light rain
262,Bengkulu,ID,-3.8004,102.2655,76.06,88,100,2.62,very heavy rain
263,Hobart,AU,-42.8794,147.3294,50.05,83,100,5.75,overcast clouds
264,Kenai,US,60.5544,-151.2583,39.29,86,100,12.66,overcast clouds
265,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,20,3.44,few clouds
266,Leshan,CN,29.5623,103.7639,56.01,65,100,3.74,overcast clouds
267,Lagoa,PT,39.05,-27.9833,60.33,67,100,24.49,overcast clouds
268,Port Alfred,ZA,-33.5906,26.891,65.17,94,96,1.99,moderate rain
269,Bowen,AU,-20.0167,148.2333,75.56,72,0,12.71,clear sky
270,Qaanaaq,GL,77.484,-69.3632,-0.94,64,6,5.86,clear sky
271,Tautira,PF,-17.7333,-149.15,75.7,85,100,13.47,light rain
272,Emba,KZ,48.8264,58.1442,38.23,76,86,17.6,overcast clouds
273,Lebu,CL,-37.6167,-73.65,60.1,65,100,11.79,light rain
274,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
275,Alofi,NU,-19.0595,-169.9187,76.48,77,61,19.62,broken clouds
276,San Juan,AR,-31.5375,-68.5364,75.43,34,6,8.39,clear sky
277,Mataura,NZ,-46.1927,168.8643,42.66,91,84,2.04,broken clouds
278,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
279,Makat,KZ,47.6469,53.3463,41.68,71,69,14.83,broken clouds
280,Brignoles,FR,43.4,6.0667,69.62,67,100,1.97,overcast clouds
281,Key West,US,24.5557,-81.7826,89.6,86,75,9.22,broken clouds
282,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,6.91,scattered clouds
283,Sitka,US,57.0531,-135.33,42.69,75,100,14.97,light rain
284,Saskylakh,RU,71.9167,114.0833,-25.22,100,100,4.29,overcast clouds
285,Mataura,NZ,-46.1927,168.8643,42.66,91,84,2.04,broken clouds
286,Nikolskoye,RU,59.7035,30.7861,51.69,67,25,18.95,scattered clouds
287,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
288,Castro,BR,-24.7911,-50.0119,76.98,57,19,7.56,few clouds
289,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
290,Luderitz,NA,-26.6481,15.1594,64.76,63,0,14.43,clear sky
291,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,40,19.57,scattered clouds
292,Sola,VU,-13.8833,167.55,78.37,82,100,3.76,overcast clouds
293,Yellowknife,CA,62.456,-114.3525,14.52,92,100,8.05,light snow
294,Dajal,PK,29.5577,70.3762,74.14,30,44,7.67,scattered clouds
295,Tezu,IN,27.9167,96.1667,63.18,55,7,4.18,clear sky
296,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
297,Port Hardy,CA,50.6996,-127.4199,39.31,86,69,2.82,broken clouds
298,Cabo San Lucas,MX,22.8909,-109.9124,77.31,60,20,0.0,few clouds
299,Roald,NO,62.5833,6.1333,55.76,87,40,9.22,scattered clouds
300,Bowen,AU,-20.0167,148.2333,75.56,72,0,12.71,clear sky
301,Tiksi,RU,71.6872,128.8694,-17.97,100,78,1.63,broken clouds
302,Upernavik,GL,72.7868,-56.1549,10.04,84,46,11.05,scattered clouds
303,Le Mars,US,42.7942,-96.1656,22.84,80,100,12.66,overcast clouds
304,Agirish,RU,61.9247,63.0231,4.33,99,92,3.8,overcast clouds
305,Khatanga,RU,71.9667,102.5,-23.87,98,99,8.16,overcast clouds
306,Qaqortoq,GL,60.7167,-46.0333,26.73,84,36,5.01,scattered clouds
307,Nicoya,CR,10.1483,-85.452,80.92,77,91,3.38,overcast clouds
308,Mahon,ES,39.8885,4.2658,68.56,83,20,6.91,few clouds
309,Gizo,SB,-8.103,156.8419,80.76,78,100,2.84,light rain
310,Lishui,CN,28.4604,119.9103,69.39,79,0,1.88,clear sky
311,Darnah,LY,32.767,22.6367,66.18,62,14,7.72,few clouds
312,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
313,Phangnga,TH,8.4509,98.5298,77.04,92,100,4.21,overcast clouds
314,Castro,BR,-24.7911,-50.0119,76.98,57,19,7.56,few clouds
315,Santa Ines,BR,-3.6667,-45.38,89.08,58,73,3.13,broken clouds
316,Otradnoye,RU,59.7775,30.8181,51.85,66,26,19.01,scattered clouds
317,Buy,RU,58.4786,41.53,51.94,72,100,22.91,overcast clouds
318,Jalu,LY,29.0331,21.5482,68.54,46,73,6.55,broken clouds
319,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
320,Avarua,CK,-21.2078,-159.775,71.65,68,69,5.75,broken clouds
321,Ahipara,NZ,-35.1667,173.1667,58.17,90,56,7.34,broken clouds
322,Sao Filipe,CV,14.8961,-24.4956,76.84,76,84,12.57,broken clouds
323,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
324,Solginskiy,RU,61.05,41.3428,42.3,94,100,13.47,overcast clouds
325,Marsa Matruh,EG,31.3525,27.2453,66.92,62,6,9.06,clear sky
326,Port Alfred,ZA,-33.5906,26.891,65.17,94,96,1.99,moderate rain
327,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,75,10.36,broken clouds
328,Lompoc,US,34.6391,-120.4579,61.79,93,0,5.75,clear sky
329,East London,ZA,-33.0153,27.9116,70.74,94,75,10.36,thunderstorm with rain
330,Lethem,GY,3.3803,-59.7968,88.36,60,59,6.76,broken clouds
331,Kapaa,US,22.0752,-159.319,75.18,74,40,20.71,light rain
332,Hobart,AU,-42.8794,147.3294,50.05,83,100,2.3,overcast clouds
333,Bengkulu,ID,-3.8004,102.2655,76.06,88,100,2.62,very heavy rain
334,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
335,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,83,5.01,broken clouds
336,Cape Town,ZA,-33.9258,18.4232,69.35,78,10,7.0,light rain
337,Havelock,US,34.8791,-76.9013,75.18,89,100,10.36,overcast clouds
338,Upernavik,GL,72.7868,-56.1549,10.04,84,46,11.05,scattered clouds
339,Tual,ID,-5.6667,132.75,84.0,72,100,5.59,overcast clouds
340,Zelenets,RU,61.8849,50.7489,39.45,100,100,3.69,overcast clouds
341,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
342,Kirakira,SB,-10.4544,161.9205,78.19,86,89,4.25,overcast clouds
343,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
344,Yellowknife,CA,62.456,-114.3525,14.52,100,100,5.75,light snow
345,Kapaa,US,22.0752,-159.319,75.18,74,40,20.71,light rain
346,Burnie,AU,-41.0667,145.9167,53.94,73,100,17.87,light rain
347,Chapais,CA,49.7834,-74.8492,33.58,100,100,3.89,light snow
348,East London,ZA,-33.0153,27.9116,70.74,94,75,10.36,thunderstorm with rain
349,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
